id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6.89719E+17,"Elegant, spacious studio apt in historic mansion",1717342,David,,SIXTH WARD,42.65405765,-73.760713,Entire home/apt,96,1,229,02/01/2025,7.89,2,231,91,
6.92808E+17,Relax in Style by Washington Park - Free Parking,67337944,Rabia,,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,125,1,103,28/10/2024,4.18,1,125,42,
7.03552E+17,Cozy Albany Home,3650672,Zuhair,,THIRTEENTH WARD,42.67075,-73.79704,Entire home/apt,168,2,3,25/08/2024,0.55,1,144,3,
7.0566E+17,Luxurious one bedroom with off-street parking,353498132,Michael,,SECOND WARD,42.64577,-73.7583,Entire home/apt,109,13,6,21/11/2024,0.24,6,245,3,
7.17373E+17,Centrally located 2 bed w/ off street parking,232967878,Diana,,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,142,1,56,30/11/2024,2.1,23,89,27,
7.23957E+17,"Modern home, King Bed 4 bed 2bath, Crib, parking",10279606,Nori,,NINTH WARD,42.65691,-73.78389,Entire home/apt,199,1,206,23/12/2024,7.91,2,194,93,
7.24567E+17,Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,117,2,55,30/12/2024,3.36,1,338,38,
7.33965E+17,Historic 1 bed/ 1 bath,502037254,Andrew,,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68,14,1,26/03/2023,0.05,3,157,0,
7.3588E+17,Modern & Homey 1BD/1BA Fl 1 Apt @ Downtown Albany,44434571,Earl,,THIRD WARD,42.64564,-73.75261,Entire home/apt,83,1,66,29/12/2024,2.48,8,349,36,
7.36894E+17,Lovely private room in center square for $700/mo,77367219,Elizabeth,,SIXTH WARD,42.65643,-73.76402,Private room,60,30,3,05/10/2024,0.12,1,276,1,
7.37574E+17,4 bed all on one floor,232967878,Diana,,TENTH WARD,42.66069,-73.78555,Entire home/apt,185,1,44,27/10/2024,1.68,23,63,12,
7.39723E+17,Adirondack Suite #1,98744672,Bela,,NINTH WARD,42.6543178,-73.7818222,Private room,55,2,34,24/11/2024,1.27,8,302,15,
7.436E+17,Cozy apartment 2min walk to Albanymed office space,484673863,Blossom Estates,,NINTH WARD,42.65569,-73.77685,Entire home/apt,72,2,11,31/12/2024,0.45,3,359,7,
7.44431E+17,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,91,2,25,01/12/2024,1.18,2,358,16,
7.50749E+17,Clean Escape- Centrally located- Self Check-In,255839958,Kira,,SEVENTH WARD,42.64284,-73.77997,Entire home/apt,131,1,17,06/08/2024,0.66,1,309,6,
7.51421E+17,Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,,FIFTH WARD,42.66648,-73.76831,Entire home/apt,114,2,26,20/10/2024,1.14,1,360,13,
7.52119E+17,Cozy luxury brownstone w/ parking & yard,258664571,Vorakij,,SECOND WARD,42.64439385,-73.75975702,Entire home/apt,111,2,76,14/12/2024,3.35,2,342,44,
7.52337E+17,Penthouse Brownstone w/ luxury amenities,258664571,Vorakij,,SECOND WARD,42.6444412,-73.7597141,Entire home/apt,111,1,76,08/12/2024,3.61,2,353,52,
7.56753E+17,Private Room in the Center of the Albany,69729286,Musab,,SIXTH WARD,42.65259,-73.76732,Private room,50,5,15,23/03/2024,0.61,2,178,3,
7.57342E+17,Elegant Studio in Center Square,188679144,Elizabeth,,SIXTH WARD,42.65534,-73.76461,Entire home/apt,70,7,13,05/12/2024,0.5,8,309,4,
7.57978E+17,Charming location near universities & hospital,232967878,Diana,,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,123,2,41,28/10/2024,1.81,23,82,19,
7.61142E+17,"Great place in the heart of Albany, with Parking",37769478,Erion,,SIXTH WARD,42.65405,-73.76953,Entire home/apt,89,1,44,28/09/2024,1.76,11,279,24,
7.64509E+17,Rest+Restore Room É?Ω Short & Extended Stay É?Ω,6203319,Melissa,,TENTH WARD,42.66117,-73.79091,Private room,75,1,30,11/11/2024,1.17,3,89,22,
7.70934E+17,Albany 2 Bedroom House,48328222,John,,FOURTEENTH WARD,42.6631926,-73.8153245,Entire home/apt,122,1,6,28/12/2024,2.07,1,54,6,
7.74701E+17,Entire cozy unit in Albany,261036923,Hasan,,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,80,1,54,21/12/2024,2.2,1,263,21,
7.75646E+17,Casa Coquette+King Bed w/En Suite+Center Sq 2 min,115597810,Massiel,,SIXTH WARD,42.6518469,-73.7642072,Entire home/apt,130,14,47,20/10/2024,1.91,1,115,26,
7.84781E+17,Private bedroom and private bath w/separate entry,491907850,Donna,,FOURTEENTH WARD,42.66298,-73.81361,Private room,60,1,15,31/07/2024,0.65,1,69,4,
7.86181E+17,Center Square Gem: Junior 1 Bedroom,188679144,Elizabeth,,THIRD WARD,42.65653,-73.76223,Entire home/apt,74,1,3,27/01/2024,0.18,8,337,1,
7.86197E+17,Mansion in Albany 7minutes to Downtown Albany,444163492,Drasana,,FOURTH WARD,42.67996,-73.75352,Entire home/apt,,30,13,25/02/2024,0.57,1,0,3,
7.86228E+17,Glamorous 1BR Retreat in Center Square,188679144,Elizabeth,,SIXTH WARD,42.65322,-73.76249,Entire home/apt,101,7,4,09/11/2024,0.26,8,364,3,
7.86316E+17,Elegant newly renovated cozy smart apartment,253824490,Tomar & Kash,,FIFTH WARD,42.65915031,-73.75431933,Entire home/apt,,2,36,09/09/2024,1.54,1,0,5,
7.87024E+17,*The Allen House* Gorgeous Apartment - Sleeps 8,349460842,Scott,,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,182,1,94,30/12/2024,4.15,17,360,51,
7.88301E+17,Spacious 2 bed w/parking,232967878,Diana,,SECOND WARD,42.64409,-73.75709,Entire home/apt,150,1,63,09/11/2024,2.57,23,87,24,
7.94723E+17,Updated 3/1 unit for Professionals and Families,20144241,Carla,,FIFTH WARD,42.67283,-73.77367,Entire home/apt,98,3,13,21/12/2024,0.66,1,72,7,
7.95542E+17,Victorian Mansion on Washington Park,493882819,Terra,,NINTH WARD,42.656329,-73.7752048,Private room,,1,5,18/08/2024,0.29,6,0,4,
7.96231E+17,Washington Park Inn 4,493882819,Terra,,NINTH WARD,42.65582,-73.77541,Private room,141,1,12,01/12/2024,0.68,6,356,7,
7.97455E+17,Albany Medical/colleges/Dtwn Albany/Green ROOM O,89705052,Share,,TENTH WARD,42.65741,-73.78034,Private room,60,2,14,30/09/2024,0.59,4,109,4,
7.98715E+17,Cozy 1st Floor Apartment near the NYS Museum,491607190,Nessie,,SIXTH WARD,42.65038,-73.76664,Entire home/apt,95,1,13,28/10/2024,0.56,2,10,6,
8.02217E+17,Washington Park Inn 6,493882819,Terra,,SIXTH WARD,42.65751,-73.77409,Private room,137,1,6,13/10/2024,0.35,6,359,2,
8.03605E+17,3br/2ba Near Alb Med & St.Petes.,21886921,David,,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,125,14,3,09/11/2024,0.16,2,283,2,
8.03682E+17,Modern and Cozy Pine Hills Home from Early 1900s,265709295,Richard & Priscela,,THIRTEENTH WARD,42.6702921,-73.7907283,Entire home/apt,164,1,8,29/11/2024,0.83,2,360,8,
8.03814E+17,Washington Park Inn - Room 5,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,139,1,6,11/10/2024,0.34,6,355,3,
8.03868E+17,Washington Park Inn 1,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,137,1,9,29/10/2024,0.5,6,356,5,
8.06768E+17,& Modern Luxury Cottage in Central ALB,110453341,Alexis,,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,102,1,36,20/10/2024,1.53,1,249,16,
8.09525E+17,Two bedroom apartment near hospitals pet friendly,172658781,Jessica,,NINTH WARD,42.65613972,-73.79212238,Entire home/apt,90,30,0,,,3,178,0,
8.1364E+17,The front room w/ TV and king size bed,116935236,Fs,,THIRTEENTH WARD,42.67144,-73.79033,Private room,55,2,12,31/08/2024,0.69,4,364,2,
8.16085E+17,Cozy Apartment across the Park,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,71,1,31,06/12/2024,1.33,11,363,6,
